,discriminator,len_sim,len
0,AutoGoodbyeMessage,428847,54920
1,AutoHello2Message,22566,2530
2,AutoHelloMessage,98009,9538
3,AutoHelloNewsMessage,30277,2398
4,AutoHelloOfflineMessage,78092,14180
5,AutoRateMessage,95755,17180
6,HotlineNotificationMessage,78088,10796
7,MLRoboChatMessage,74348,10074
8,NewsAutoMessage,20329,2777
9,OperatorFileMessage,1536,214
10,OperatorMessage,923867,120297
11,SupportNotificationMessage,5863,763
12,TransferringChatAcceptedMessage,24883,3291
13,TransferringChatRejectedGroupMessage,15435,2064
14,TransferringChatRejectedMessage,529,72
15,UserEvaluationMessage,21781,2841
16,UserFileMessage,249,83
17,UserMessage,599983,85886
18,UserMobileMessage,12910,1963
19,UserNewsPositiveReactionMessage,1438,233
20,UserWhatsAppMessage,22906,3390
